text,lang,id,political,racial/ethnic,religious,gender/sexual,vilification,dehumanization,extreme_language,lack_of_empathy,stereotype,invalidation,other,polarization
According to @ICC rule @msdhoni shouldn't wear the #BalidaanInsignia and Indian shouldn't always take the advantage of it's population.   #DhoniKeepsTheGlove   #DhoniKeSaathDesh   #IndvsAus   #DhoniAtCWC19   #DhoniKeepBalidaanBadgeGlove,eng,hasoc_en_1269,0,0,0,0,0,0,0,0,0,0,0,0
All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/KtTKeIIUm7,eng,hasoc_en_1270,0,0,0,0,0,0,0,0,0,0,0,0
@RepBarbaraLee They don’t have the authority or legal right to do 98.5% of the shit they’re doing &amp,eng,hasoc_en_1272,0,0,0,0,0,0,0,0,0,0,0,0
WHoa 😮... WtF this shit is crazy 🤔🧐🤦🏾‍♂️ #rapist #pedophile   https://t.co/COvneyszzY,eng,hasoc_en_1274,0,0,0,0,0,0,0,0,0,0,0,0
#EastTurkistan World Wide Demonstration for Beijing Olympic. (Japan)  https://t.co/PsjNnzYpP1  #Uyghur #FreeUyghur #BoycottChina #ウイグル #RT,eng,hasoc_en_1275,0,0,0,0,0,0,0,0,0,0,0,0
#ICC what are you doing icc.why did you held the #CWC19 at england.#ShameOnICC,eng,hasoc_en_1276,0,0,0,0,0,0,0,0,0,0,0,0
Orenthal has joined Twitter. #Murderer,eng,hasoc_en_1277,0,0,0,0,0,0,0,0,0,0,0,0
#ShameOnICC  Britain better pray that #INDvPAK doesn't get rained out.     There will be riots otherwise.,eng,hasoc_en_1278,0,0,0,0,0,0,0,0,0,0,0,0
Between this fight of TMC &amp,eng,hasoc_en_1279,0,0,0,0,0,0,0,0,0,0,0,0
So Marco Rubio thinks I’m a #traitor because I don’t necessarily believe the habitually #lying @POTUS or the #murderer Mohamed Bin Salaam. I don’t believe the lying #murdering Iranian Clerics either. Fuck Marco Rubio’s dumb ass.,eng,hasoc_en_1280,0,0,0,0,0,0,0,0,0,0,0,0
You could make a drinking game every time Hannah jumps up on one of the bachelor's and wraps her legs around him. #barf #bachelorette #TheBachelorette @Andy @TMZ @HarveyLevinTMZ   #lukep #lukepisadick #kicklukepout #dickhead #fakeasfuck,eng,hasoc_en_1281,0,0,0,0,0,0,0,0,0,0,0,0
@cricketworldcup I will identify this kit by the his bag and pads the name of this legend is @msdhoni 🇮🇳🇮🇳🇮🇳  #DhoniKeepsTheGlove #CWC19,eng,hasoc_en_1282,0,0,0,0,0,0,0,0,0,0,0,0
@BBCr4today @BorisJohnson @JamesCleverly The EU has already said no..   This means no deal.  Parliament has already said no..  This means Johnson is screwed.    Also why isn't Johnson doing interviews.     #BorisJohnsonShouldNotBePM,eng,hasoc_en_1284,0,0,0,0,0,0,0,0,0,0,0,0
This Central Park 5 show is tough to watch. #FuckTrump,eng,hasoc_en_1285,0,0,0,0,0,0,0,0,0,0,0,0
@ShefVaidya @MamataOfficial It is really if you got stroke any one is delaying to give treatment you come to know so support @MamataOfficial #DoctorsFightBack,eng,hasoc_en_1286,0,0,0,0,0,0,0,0,0,0,0,0
Bless our @tedlieu. #TrumpIsATraitor #TrumpMustGo #TrumpMustResign https://t.co/ldOL3IJQcM,eng,hasoc_en_1287,0,0,0,0,0,0,0,0,0,0,0,0
#FuckTrump  'Happy Birthday Mr. President' I hope all them candles blow in the direction of that sprayed hair . Sticky looking Mother Fucker with no soul. Aint it time for him to see a Dr. ?? He is long past due.,eng,hasoc_en_1288,0,0,0,0,0,0,1,0,0,0,1,1
@ICC @icc please ask @ECB_cricket  to remove this logo   #DhoniKeepTheGlove   #DhoniKeepsTheGlove   #WorldCup2019 https://t.co/E20WzivLl1,eng,hasoc_en_1289,0,0,0,0,0,0,0,0,0,0,0,0
@Markfry809 I blocked him!  #MURDERER,eng,hasoc_en_1290,0,0,0,0,0,0,0,0,0,0,0,0
#IMAJewels   #Imafraud   Why is Ima Jewels Scam isn't a national news No big media house is covering this news on big level   The people of #Bengaluru have been cheated in this Fraud   We hate selected media coverage  @Republic_Bharat @abpnewstv @ZeeNewsHindi @Mimansa_Zee @dibang,eng,hasoc_en_1291,0,0,0,0,0,0,0,0,0,0,0,0
Too #innocent to be a #murderer. The Strange Killer: A Gripping Mystery Novel (The Missing Thieves Book 4) by ... https://t.co/WUUiCzM6Jc via @amazon,eng,hasoc_en_1292,0,0,0,0,0,0,0,0,0,0,0,0
Elizabeth Warren wants Congress to uphold its duty and impeach the President #Resist #ResistTrump #FuckTrump https://t.co/vXkJlwnPn1,eng,hasoc_en_1294,0,0,0,0,0,0,0,0,0,0,0,0
#DoctorsFightBack disagree fr special protection to doctors.@MamataOfficial should given dem confidence dat all r safe in WB.all citizens r protected by law dats it.Assualt on doctor should b investigated &amp,eng,hasoc_en_1295,0,0,0,0,0,0,0,0,0,0,0,0
@ICC  keep ur focus on umpiring then to have focus on dhoni's gloves....  #DhoniKeepsTheGlove,eng,hasoc_en_1297,0,0,0,0,0,0,0,0,0,0,0,0
@OmarAbdullah Shujaat Bukhari's murder was pre planned by Indian agencies and u like politicians... #murderer of innocent Kashmir's,eng,hasoc_en_1299,0,0,0,0,0,0,0,0,0,0,0,0
now every time i log in to twitter..there is some shaming going on.    #ShameOnKaranJohar  #ShameOnRohitShetty    And now-  #ShameOnICC,eng,hasoc_en_1301,0,0,0,0,0,0,0,0,0,0,0,0
Just tried writing a tweet in the search bar🤦‍♂️ #dickhead #toohigh,eng,hasoc_en_1304,0,0,0,0,0,0,0,0,0,0,0,0
oval office moron. &lt,eng,hasoc_en_1305,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump Your still at 40% for the national average. Once again you're confusing Obama's rating of 50% as your own.  #FUCKTRUMP   #FUCKTRUMPSUPPORTERS   #FUCKREPUBLICANS,eng,hasoc_en_1307,0,0,0,0,0,0,0,0,0,0,0,0
If only ICC Officials focussed on planning the schedule and venue of World Cup 2019 as much as they focus on MS Dhoni's gloves. 😤😤😤 #INDvNZ #NZvIND #CWC19  #INDvPAK #PAKvIND #INDvNZ #NZvIND #CWC19    #TeamIndia     #CWC2010 #Dhoni #dhonikeepstheglove,eng,hasoc_en_1308,0,0,0,0,0,0,0,0,0,0,0,0
but why are we giving a mass murderer a standing ovation?? #murderer https://t.co/V8NrBDGmI1,eng,hasoc_en_1309,0,0,0,0,0,0,1,0,0,0,1,1
Would have loved to have seen these fingers broken. #GoAway #douchebag https://t.co/XFIVia6rGe,eng,hasoc_en_1312,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump Why does the leader of the free world find the need to even care about the mayor of a city in another country????  #Pathetic #Sociopathic #Douchebag,eng,hasoc_en_1314,0,0,0,0,0,0,1,0,0,0,1,1
Like we are surprised. #ImpeachTrumpNow #TrumpIsATraitor https://t.co/1ncevzYQde,eng,hasoc_en_1316,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump @USArmy #ArmyBDay and #JohnMcCainDay   Soon we await #ImpeachmentDay #FuckTrump,eng,hasoc_en_1317,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump The United States of America needs a new President! #TrumpsAnInternationalDisgrace #TrumpIsAFraud #TrumpIsACriminal #TrumpIsATraitor,eng,hasoc_en_1321,0,0,0,0,0,0,0,0,0,0,0,0
Diverse Men's Solid Slim fit Formal Shirt (Pack of 2)  @ Rs.460 (mrp-1998)    https://t.co/Ervy33tZ7I    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,eng,hasoc_en_1322,0,0,0,0,0,0,0,0,0,0,0,0
I can't believe this is real. #trump #douchebag #pride2019 #Pride #PrideMonth #mikepence https://t.co/iUQ7p1RI6F,eng,hasoc_en_1323,1,0,0,0,0,0,0,0,0,0,0,1
A worrying headline - when even the @guardian uses 'Boris Johnson' and 'crown' in the same sentence.  #BorisJohnsonShouldNotBePM https://t.co/9sIAMXlnU2,eng,hasoc_en_1324,0,0,0,0,0,0,0,0,0,0,0,0
Episode 10: Fuck off Tommy! Molly-Mae has every right to be fuming!! You’re literally going round to all the boys saying your head has turned but yet you was like to Lucie and Molly-Mae no girl who walks in the Villa will turn my head! 🙄 pathetic #LoveIsIand #dickhead,eng,hasoc_en_1325,0,0,0,0,0,0,1,0,0,0,1,1
@GitaSKapoor @narendramodi BCCI ne captain ke sivay kishiko bhi wave back karne ko strictly mana Kiya hai.😁  Due to #DhoniKeepsTheGlove,eng,hasoc_en_1326,0,0,0,0,0,0,0,0,0,0,0,0
@hd_kumaraswamy @narendramodi Swamiji when we will get money from #TGSFraud and #DreamzGKFraud when you will show good gestures to 18000 people who lost money. In biggest scam.#IMAFraud #IMAJewels .  Your good friends are involved hence?Can you give to CB,eng,hasoc_en_1327,0,0,0,0,0,0,0,0,0,0,0,0
#ShameOnICC Icc and england cricket destroying big world cricket. England doesn't Deserve host the world cup. #sham https://t.co/vWdJV0HHrZ,eng,hasoc_en_1328,0,0,0,0,0,0,0,0,0,0,0,0
And lie some more #FuckTrump https://t.co/gqrgIxAejj,eng,hasoc_en_1329,0,0,0,0,0,0,0,0,0,0,0,0
Looks like @realdonaldtrump has a soulmate. #TrumpisaLiar #TrumpisaCrook #TrumpisaTraitor https://t.co/LxwJzOmIIF,eng,hasoc_en_1332,0,0,0,0,0,0,0,0,0,0,0,0
Mamta are you a human?  #DoctorsFightBack https://t.co/OeU3VECe0u,eng,hasoc_en_1333,0,0,0,0,0,0,0,0,0,0,0,0
It’s 2016 All Over Again #Resist #ResistTrump #FuckTrump https://t.co/9aTkUMgLOe,eng,hasoc_en_1334,0,0,0,0,0,0,0,0,0,0,0,0
Don't cancel matches due to Rain.  Just Give them Football.😉    #BCCI  #ICC  #ShameOnICC,eng,hasoc_en_1335,0,0,0,0,0,0,0,0,0,0,0,0
@TomSteyer @realDonaldTrump Yeh let all the illegals stay at your place Tom #douchebag,eng,hasoc_en_1338,0,0,0,0,0,0,0,0,0,0,0,0
@ashwaqM Should be hanged to death.    #Rapist,eng,hasoc_en_1339,0,0,0,0,0,0,1,0,0,0,1,1
New game...  How many dippin' sauces are in the pockets/purse of these two?  My guess?  47  #FuckTrump #SarahSanders https://t.co/CgoabRximn,eng,hasoc_en_1340,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump Maybe dishonest polls. Maybe dishonest voters (say one thing and vote a different way). Maybe dishonest candidates. But not dishonest media they just report on the information they are given or uncover. #fucktrump #ImpeachDonaldTrump,eng,hasoc_en_1341,0,0,0,0,0,0,0,0,0,0,0,0
#Trump just confessed to being a traitor -   #TrumpIsATraitor  https://t.co/EkGv0T02fN,eng,hasoc_en_1342,1,0,0,0,0,0,0,0,0,0,0,1
#BrandonWebber  was a #murderer and #GTA     https://t.co/baHEN1084Y,eng,hasoc_en_1343,0,0,0,0,0,0,0,0,0,0,0,0
I don't trust polls. When our election is stolen via disinformation and hacking do we say 'I don't trust polls'.  Today I feel confident that the HOUSE will NOT allow another power to steal an election.  Today I trust the current polls...  #FucKtrump!  #BlueWave2020🌊🌊🌊🌊🌊🌊🌊🌊🌊 https://t.co/WdkIejFFHh,eng,hasoc_en_1347,1,0,0,0,0,0,0,0,0,0,0,1
@realDonaldTrump Literally just called the majority of our population losers.    #SenileAF #StableGenius #racist #rapist #pervert #treason #Resist #UnstablePresident #25thAmendmentNow,eng,hasoc_en_1349,0,0,0,0,0,0,0,0,0,0,0,0
Please don't Marsha Blackburn🤣🤣🤣  #TrumpIsATraitor #GOPtraitors #VoteBlueToSaveAmerica #UniteBlue https://t.co/4fpip5Rzqz,eng,hasoc_en_1350,0,0,0,0,0,0,0,0,0,0,0,0
@thehill Gotta hand it to Obama - at least he never met with foreign leaders in secret and destroyed the translators’ notes... #FuckTrump #MAGA #paytoplay,eng,hasoc_en_1351,0,0,0,0,0,0,0,0,0,0,0,0
The way @ICC is hosting the tournament in England without checking the weather conditions #ShameOnICC   If rains continues then @ICC should reschedule the matches  #CricketWorldCup2019,eng,hasoc_en_1352,0,0,0,0,0,0,0,0,0,0,0,0
#ShameOnICC: Indian Fans Unleash Their Wrath Upon ICC After Another World Cup Washout https://t.co/rIbQn4aveg,eng,hasoc_en_1353,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump Trump cancels Iran Nuclear Deal.     Trump is surprised Iran won’t adhere to former Nuclear Deal (which Trump cancelled).     No wonder Don “The Art of the Deal” Trump has killed or bankrupted anything he touches.    #TrumpIsAMoron #Trump,eng,hasoc_en_1354,1,0,0,0,0,0,0,0,0,0,0,1
@DavidWohl @realDonaldTrump Now your boy Trump is going to start a war with Iran.  Trying hard to change narrative away from Obstruction and Impeachment.  #ImpeachTrumpNow #TrumpIsATraitor #resist https://t.co/fIpiLiU4UG,eng,hasoc_en_1356,1,0,0,0,0,0,0,0,0,0,0,1
@POTUS   @WhiteHouse   @FLOTUS   @EricTrump   @DonaldJTrumpJr   Happy #JohnMcCainDay !  #ImpeachTrumpNow   #TrumpIsATraitor https://t.co/bMNhCzKbTu,eng,hasoc_en_1357,0,0,0,0,0,0,0,0,0,0,0,0
💗THIS FRIDAY💗Jackhammer Complex at 9:30 @cher &amp,eng,hasoc_en_1360,0,0,0,0,0,0,0,0,0,0,0,0
@IvankaTrump This comment section is filled with Russian bots and NASCAR fans #FuckTrump,eng,hasoc_en_1361,0,0,0,0,0,0,0,0,0,0,0,0
#DhoniKeepsTheGlove don't change gloves make a sticker on it of your daughter's name.,eng,hasoc_en_1363,0,0,0,0,0,0,0,0,0,0,0,0
How will you take out before the 31st October  #BorisJohnsonShouldNotBePM https://t.co/TqPudJojCJ,eng,hasoc_en_1364,0,0,0,0,0,0,0,0,0,0,0,0
@FinancialXpress Who's responsible for mounts of 69 ....    #DoctorsFightBack #DoctorsProtest #DoctorsStrike @mangalpandeybjp @MoHFW_INDIA,eng,hasoc_en_1365,0,0,0,0,0,0,0,0,0,0,0,0
@TeamTrump @realDonaldTrump This comments thread is a real 'who's who' of whote supremecy! #TrumpsAmeriKKKa #TrumpDumpsters #FuckTrump #NotMyPresident #LockHimUp #LoserTrump #Criminal,eng,hasoc_en_1367,0,0,0,0,0,0,0,0,0,0,0,0
The #GOP loves how stupid #trump is! They are thriving off of it. #ImpeachmentNOW #Collusion #fucktrump #fuckthegop,eng,hasoc_en_1369,1,0,0,0,1,0,0,0,0,0,0,1
@IndiaToday @MamataOfficial   @PMOIndia : Why are you silent ?  #DoctorsFightBack   #DoctorStrike   #DoctorsProtest   #DoctorsUnderOppression   #doctor   #doctors_against_assualt,eng,hasoc_en_1370,0,0,0,0,0,0,0,0,0,0,0,0
@GavinNewsom Who voted for you!!  All about Trump as always. #douchebag,eng,hasoc_en_1371,1,0,0,0,0,0,1,0,0,0,0,1
@ssquirrel007 Hell yeah! I'm in! #fucktrump,eng,hasoc_en_1373,0,0,0,0,0,0,0,0,0,0,0,0
@BillCosby You forgot #rapist,eng,hasoc_en_1376,0,0,0,0,0,0,0,0,0,0,0,0
Funny how talking about remaking GOT s8 &amp,eng,hasoc_en_1377,0,0,0,0,0,0,0,0,0,0,0,0
I’d celebrate the better man any day #JohnMcCain was a hero and patriot  #TrumpIsANationalSecurityThreat Bone Spurs is Neither a patriot nor a hero  #TrumpIsATraitor #TrumpIsADisgrace #TrumpIsTheEnemyOfThePeople No one would say those things about McCain https://t.co/uojq8KmqLx,eng,hasoc_en_1378,0,0,0,1,0,0,0,0,0,0,0,1
We r With U @msdhoni Because U r Not Presenting Any Religious and Political Party in Stadium. U r Pride of India #DhoniKeepsTheGlove https://t.co/As6B6TUqwH,eng,hasoc_en_1379,0,0,0,0,0,0,0,0,0,0,0,0
I am with you @msdhoni  And I hope entire country with you this time #DhoniKeSaathDesh #DhoniKeepsTheGlove https://t.co/4DKm7aFKS1,eng,hasoc_en_1380,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump @OANN #ImpeachTrumpNow  #TrumpIsATraitor  #TrumpResignNow  #Trump  #TrumpIsTheEnemyOfThePeople    Amazing how insecure @POTUS is that he has to tweet this https://t.co/dd9pw4deG5,eng,hasoc_en_1381,1,0,0,0,0,0,0,0,0,0,0,1
#rapist #rapevictim #evil #evilworld #rapevictim #secretdoorsunlocked #microtale   Read my thoughts on @YourQuoteApp #yourquote #quote #stories #qotd #quoteoftheday #wordporn #quotestagram #wordswag #wordsofwisdom… https://t.co/5m4s1hNaMg,eng,hasoc_en_1383,0,0,0,0,0,0,0,0,0,0,0,0
@billmaher  continues to try sooooo hard to remain relevant. #MSM is the only one who cares #LowRatings #LowIQ #DrugAddict #SexFiend #DoucheBag,eng,hasoc_en_1384,0,0,0,0,0,0,0,1,0,0,1,1
https://t.co/SV0zkbLaNZ    Written by one of the protesters in Kolkata. Read through their agony and pain.   #BengalDoctorsStrike #DoctorsProtest #DoctorsFightBack  #DoctorsStrike #DoctorsUnderOppression https://t.co/BrEbPYoZfO,eng,hasoc_en_1385,0,0,0,0,0,0,0,0,0,0,0,0
Save the doctors  save the democracy  #DoctorsFightBack  #SaveBengal https://t.co/tJ5XPVfNa3,eng,hasoc_en_1388,0,0,0,0,0,0,0,0,0,0,0,0
This is the main truth now #BalidanBadge #DhoniKeepsTheGlove https://t.co/uvm3D1mf76,eng,hasoc_en_1389,0,0,0,0,0,0,0,0,0,0,0,0
I’ve seen racer chases in women but this guy on your left is definitely a driver chaser.   #looser @austindillon3 #whenthemoneyrunsupyouwillbeforgotte #nascar #douchebag #wannabe #sucks #greatjobatbeingadouchebag https://t.co/00hoJbZWLX,eng,hasoc_en_1390,0,0,0,0,0,0,0,0,0,0,0,0
This shouldn't stop unless there's a strong action from the centre in the form of a law to protect doctors. #DoctorsFightBack #SaveTheDoctors https://t.co/dlZv91izwB,eng,hasoc_en_1392,0,0,0,0,0,0,0,0,0,0,0,0
@Steven_Swinford How does that help those who don’t reach the dizzying heights of a 40% tax bracket? #dickhead #cokehead,eng,hasoc_en_1393,0,0,0,0,0,0,0,0,0,0,0,0
Canada: Good at basketball  USA: Has basketball for President    In the words of the famous Robert de Niro: “#fucktrump',eng,hasoc_en_1394,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump Not like Crif???🤷‍♂️  #SenileAF #StableGenius #racist #rapist #pervert #treason #Resist #UnstablePresident #25thAmendmentNow https://t.co/U3U26unzbB,eng,hasoc_en_1395,0,0,0,0,0,0,1,0,0,0,1,1
Come to Bengal and speak whatever language you want to.  We have seen what lingual terrorism can do during the Bangladesh Independence war and divisive politics will not work .  পশ্চিমবঙ্গ ভারতের একটি অংশ।     #DoctorStrike #DoctorsFightBack     #DoctorsFightBack,eng,hasoc_en_1398,0,0,0,0,0,0,0,0,0,0,0,0
Then #ABrandNewDayOUTNOW was released and it is AMAZING  And now #BoyWithLuv18thWin 🏆  #ShameOnICC @PlayBazaar @PlayBazzar #ABrandNewDayOutNow  #BoyWithLuv18thWin 🎉🎉🎉🎉🎉    Link Now https://t.co/bpgkmUDz5B https://t.co/UqLQufHtEK,eng,hasoc_en_1400,0,0,0,0,0,0,0,0,0,0,0,0
Choose one  #trumpcriminal #TrumpCriminal #trumpsucks #trump #trumpisatraitor #Trump #dumptrump #Repost #trumpisanidiot #trump💩 #muellerinvestigation #trumpisnotabovethelaw #impeachtrump #resist #fucktrump #muellertime #notmypresident,eng,hasoc_en_1401,1,0,0,0,0,0,0,0,0,0,0,1
@SenSchumer @realDonaldTrump @senatemajldr @SenateGOP Just like he flip flopped on Russia interference in our election. To I don't see why it would be #Russia to I don't see why it wouldn't be #Russia #TrumpRussia #PutinPuppet #TraitorTrump #TreasonousTru,eng,hasoc_en_1402,1,0,0,0,0,0,0,0,0,0,0,1
All they are concerned about who wore which badge. No wonder the popularity of the game is decreasing.   #ShameOnICC,eng,hasoc_en_1403,0,0,0,0,0,0,0,0,0,0,0,0
This is what your country will soon look like if you EVER let #China in-in any way‼️Finance/joint ventures/land ownership/infrastructure or 5G‼️Yes they own HK but we got complacent while Britain had it’s 99 year lease-this is no longer the #HongKong we knew!💔💔💔#BoycottChina🇨🇳 https://t.co/XHAM67GH7C,eng,hasoc_en_1404,0,0,0,0,0,0,1,0,0,0,1,1
@LeonardRoxon Great hair can't save the goofy bum toucher look on his face. #DoucheBag,eng,hasoc_en_1405,0,0,0,0,0,0,0,0,0,0,0,0
#DoctorsFightBack    @MamataOfficial   infant died by dr.chandrakala and hospital negligence.  how can they treat the patient through what's app?  how medical practice is allowed without incomplete infrastructure and equipments. Can you support us? It should not happened to others https://t.co/aCt5NQWb9g,eng,hasoc_en_1408,0,0,0,0,0,0,0,0,0,0,0,0
#DhoniKeepsTheGlove    Open challenge to ICC . Dhoni himself is a symbol of army.  You can ban his gloves but do you have the spine to ban MS Dhoni ?,eng,hasoc_en_1409,0,0,0,0,0,0,0,0,0,0,0,0
US embassy in Rome. #pride #pridemonth2019 #fucktrump https://t.co/8jv8ejYCVz https://t.co/vkf4lLTgRd,eng,hasoc_en_1410,0,0,0,0,0,0,0,0,0,0,0,0
We are loosing our freedom     #TrumpIsANationalSecurityThreat #TrumpIsATraitor #ImpeachmentInquiryNow #RussianAsset #Trump #ImpeachTrumpNow #ImpeachTheMFTraitor #ImpeachTheMFer https://t.co/AJYSa0uOYI,eng,hasoc_en_1411,1,0,0,0,0,0,0,0,0,0,0,1
@TheLastLeg #isitok that Nigel Farage says his 29% cannot be ignored yet the 48% remainders should be ignored?! #dickhead,eng,hasoc_en_1414,0,0,0,0,0,0,0,0,0,0,0,0
Yes dhoni Bhai you will keep the gloves because you are in army and you giving respect to army what is the matter #DhoniKeepsTheGlove,eng,hasoc_en_1416,0,0,0,0,0,0,0,0,0,0,0,0
#SAMIIBRAHIM #PakvsInd #FawadChaudhry #HinduSamarajyaDiwas #DoctorsFightBack #BoycottBankAlFalah Hahaha When You Type Bhikhari in Google Search It is Popping Up Imran Khan Pics 😂😂😂😂😂 https://t.co/hmmmzcxRYT,eng,hasoc_en_1417,0,0,0,0,0,0,0,0,0,0,0,0
@Emmablu1974 @GuntherGill Lol...I would slam the door in his face &amp,eng,hasoc_en_1419,0,0,0,0,0,0,0,0,0,0,0,0
Enough ALREADY!! #FuckTrump https://t.co/rfYR7Y87Yv,eng,hasoc_en_1420,0,0,0,0,0,0,1,0,0,0,1,1
@TheRealOJ32 The first tweet should be: 'I did it.'  And then you should shut up forever.  #MURDERER,eng,hasoc_en_1421,0,0,0,0,0,0,0,0,0,1,1,1
Analysis: Amash exposed a secret about conservatism under Trump #Resist #ResistTrump #FuckTrump https://t.co/JseDzEPYT7,eng,hasoc_en_1422,1,0,0,0,0,0,0,0,0,0,0,1
Something is really going wrong when the saviours are protesting to be saved  #DoctorsStrike #DoctorsFightBack  #BengalDoctorsStrike https://t.co/MQSxmS5P6J,eng,hasoc_en_1424,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump Well HAPPY FU€KING BDAY TO YOU A$$HOLE....MAY IT BE YOUR LAST🙏🙏🙏🙏🙏 #TrumpIsATraitor #TrumpMustResign #TrumpsAnInternationalDisgrace #TrumpResignNow #DumpTrump #TrumpsBirthday is his last🙏,eng,hasoc_en_1425,0,0,0,0,0,0,0,0,0,0,0,0
@AdamKinzinger #FutzPuck  #warmongeringAss  #dickhead  #ZEROCredibility  #WouldNotKnowTheTruthIfIfWereSlappedUpsideYourStupidFace  #HaHaHaTrumpPickedAWomanForAirForceSecretary  #NOTYOULOL  #YouSuck  #VoteBlueNotYou   lol @Stonekettle Knows You Are A PUTZ!,eng,hasoc_en_1426,0,0,0,0,0,0,0,0,0,0,0,0
Who's next on the hit list? #SarahSandersResigns   #TrumpCrimeSyndicate #TrumpAdministration   #TrumpIsATraitor #CorruptGOP #TrumpMustResign https://t.co/qotxtcfs6O,eng,hasoc_en_1427,0,0,0,0,0,0,0,0,0,0,0,0
#Resist #resistance   #fucktrump  Who needs $ to get that baby in the air ?? https://t.co/R6jvweJWSh,eng,hasoc_en_1428,0,0,0,0,0,0,1,0,0,0,1,1
@LindseyGrahamSC @realDonaldTrump Hey it's your old friend's day! #JohnMcCainDay #JohnMcCainDayJune14 #JohnMcCainDayJune14th #JohnMcCainAmericanHero   vs.  #TrumpCriminalInvestigations #TrumpIsATraitor #TrumpsAnInternationalDisgrace #TrumpResignNow   See,eng,hasoc_en_1431,0,0,0,0,0,0,0,0,0,0,0,0
I am watching rain on Star Sports peacefully  But World Cup Matches interuppt it.  #ShameOnICC,eng,hasoc_en_1432,0,0,0,0,0,0,0,0,0,0,0,0
If Dhoni is allowed to keep that badge then we will soon see Pakistani players sporting big logos of Pakistani Rangers on their jerseys. And then we will see @ICC banning such things completely by amending the rules.   #IndiaWithDhoni #DhoniKeepsTheGlove #DhoniKeSaathDesh,eng,hasoc_en_1433,0,0,0,0,0,0,0,0,0,0,0,0
@JohnnyMercerUK No! Any politican who says 'trust me' and has a record of serial breaking that trust CANNOT BE TRUSTED! Ever. #BorisJohnsonShouldNotBePM,eng,hasoc_en_1434,0,0,0,0,0,0,0,0,0,0,0,0
@KimKardashian @IvankaTrump You’re a Kardashian politician!  Nothing to be proud of!  Daily photos of people who need help are better than photos of wealthy assholes laughing at the rest of us!  #Trump #TrumpIsATraitor #TrumpsAnInternationalDisgrace #Ivan,eng,hasoc_en_1435,1,0,0,0,0,0,0,0,0,0,0,1
Is dhoni playing with that gloves  #DhoniKeepsTheGlove,eng,hasoc_en_1436,0,0,0,0,0,0,0,0,0,0,0,0
@kathygriffin She done texted me for real y’all!!  Love you Kathy!  You are so funny and so smart. I’m honored that you texted me! #fucktrump https://t.co/nQGwXYieVF,eng,hasoc_en_1437,0,0,0,0,0,0,1,0,0,0,1,1
@prakas_pr @AGNEEPATHVIJAY @ICC @englandcricket @ECB_cricket No words  #ShameOnICC,eng,hasoc_en_1438,0,0,0,0,0,0,0,0,0,0,0,0
East Turkestan In 50 Seconds  https://t.co/GH1hIkbxOO  #Uyghur #FreeUyghur #EastTurkistan #China #StopChina #BoycottChina #Genocide #ウイグル #RT,eng,hasoc_en_1439,0,0,0,0,0,0,1,0,0,0,1,1
@hardball Guests @NatashaBertrand &amp,eng,hasoc_en_1440,0,0,0,0,0,0,0,0,0,0,0,0
@astype Me too! I guess calling him a serial #RAPIST didn't go over so well... 😳  #BlockedByCosby 😊,eng,hasoc_en_1442,0,0,0,0,0,0,0,0,0,0,0,0
The Funniest Protest Signs From Trump’s Visit To The UK  #FuckTrump #TrumpSucks  Here are the funniest protest signs made by some brilliant UK citizens… https://t.co/fa4Xfgp4nE,eng,hasoc_en_1444,1,0,0,0,0,0,0,0,0,0,0,1
@realDonaldTrump No such thing... except when you’re describing how you harass us. #douchebag #dumptrump #voteblue #byefelicia,eng,hasoc_en_1445,0,0,0,0,0,0,0,0,0,0,0,0
Proud of my alma mater. Violence against doctors on duty is not acceptable.  #RGKar #DoctorsFightBack #DoctorsProtest https://t.co/7hDWDa8VO2,eng,hasoc_en_1447,0,0,0,0,0,0,0,0,0,0,0,0
ICC Rejects Permission for Army Insignia on MSD's Gloves   #ICCWorldCup #DhoniKeepsTheGlove #DhoniKeSaathDesh #BCCI #ICC #MSD #ARMY #BalidaanBadge https://t.co/xHMTVH6ts4,eng,hasoc_en_1449,0,0,0,0,0,0,0,0,0,0,0,0
Connect the Dots to See Where Trump’s Taking Us #Resist #ResistTrump #FuckTrump https://t.co/uW4Z0CQfAw,eng,hasoc_en_1450,1,0,0,0,0,0,0,0,0,0,0,1
